Name,Title/Credentials,Bio
"Catherine Milne","APRN, MSN, ANP/ACNS-BC, CWOCN-AP","Catherine T. Milne is an Adult Wound, Ostomy, Continence Nurse Practitioner practicing across the continuum for over 30 years. In addition to lecturing nationally and internationally, she is Co-Chair of the Post-Acute Care Symposium and WoundCon conferences and a clinical support team member at WoundReference.com. She served as a Nurse Board Member of the AAWC and has adjunct clinical professor responsibilities at the Yale School of Nursing."
"Stephanie Woelfel","PT, DPT, CWS","Stephanie Woelfel PT, DPT, CWS has been a wound management practitioner for over 20 years across all practice settings. She is an Assistant Professor of Clinical Physical Therapy and Surgery at the University of Southern California. She is active in the American Physical Therapy Association (APTA) and currently serves as the Vice President of the APTA's Academy of Clinical Electrophysiology & Wound Management. Stephanie also serves as APTA's liaison to the National Pressure Injury Advisory Panel."
"Nicole Brandt","Pharm.D., M.B.A., BCGP, FASCP","Dr. Brandt is a professor and Parke-Davis Chair in Geriatric Pharmacotherapy in the Department of Practice, Sciences, and Health Outcomes Research (P-SHOR) and executive director of the Peter Lamy Center on Drug Therapy and Aging at the University of Maryland School of Pharmacy. Since joining the University of Maryland School of Pharmacy, Dr. Brandt has expanded available geriatric training opportunities, including the geriatrics/palliative care pathway, ASHP-accredited geriatrics residency, and two-year post-PharmD fellowship. She was named the 2019 recipient of the American Geriatrics Society's (AGS) Dennis W. Jahnigen Memorial Award for her leadership in geriatrics education. She has worked on various interdisciplinary teams across numerous practice settings and is currently leading initiatives to integrate sustainable pharmacist-directed services to help older adults with multiple co-morbidities at the MedStar Center for Successful Aging. Dr. Brandt has been active in promoting optimal care for older adults and has affected this through her educational, clinical, as well as healthcare policy work. She co-led an initiative that led to the University of Maryland, Baltimore and University of Maryland, Baltimore County to become the first universities in the state of Maryland to receive Age-Friendly University distinction. She has directed projects with multiple stakeholders focusing on Medicare Part D Medication Therapy Management programs, high risk medications, and medication stewardship. Her public policy advocacy occurs on both a state and national level. She is one of the authors of the 2012, 2015, 2019 and 2023 American Geriatrics Society Beer's Criteria and the past president and board chairman of American Society of Consultant Pharmacists. She was a Fulbright Program Specialist from 2023 - 2024 with the University of Helsinki School of Pharmacy to work on Age-Friendly Care initiatives."
"Faith McNicholas","RHIT, CPC, CPCD, PCS, CDC","Faith C. M. McNicholas, RHIT, CPC, CPCD, PCS, CDC, is a nationally recognized expert in medical coding and reimbursement with a passion for dermatology. As Senior Manager of Coding and Reimbursement at the American Academy of Dermatology Association, she serves as staff liaison to the AMA CPT Editorial Panel and ICD-10 Workgroup, and is Assistant Editor for Derm Coding Consult. Faith's work is widely published in leading industry journals, and she is a sought-after presenter at national and state specialty meetings. With multiple certifications, including RHIT and CPC with a dermatology specialization, she brings deep expertise and a proven ability to translate complex coding, reimbursement, and regulatory changes into practical guidance for physician practices."
"Betsy Reynolds","PharmD","Betsy Powers Reynolds, PharmD, is a senior care pharmacist and healthcare leader with more than 15 years of experience advancing medication safety, clinical quality, and regulatory performance across long-term care, senior living, ambulatory surgery, and post-acute care settings. As Partner and Director of Pharmacy Consulting at Method Healthcare, she partners with interdisciplinary teams to optimize medication management, support Quality Assurance and Performance Improvement (QAPI) initiatives, and strengthen care transitions to reduce hospital readmissions. Dr. Reynolds earned her Doctor of Pharmacy degree from the University of Missouri-Kansas City and is licensed in Kansas and Missouri. She is a frequent speaker and respected advisor on geriatric pharmacotherapy, antipsychotic stewardship, wound healing, and quality improvement. In addition to her professional practice, Dr. Reynolds is actively engaged in leadership and service, including roles with the Parkinson's Foundation Heartland Chapter Advisory Board, the Kansas Department of Health and Environment Drug Utilization Review Board, and multiple professional pharmacy organizations. Her career reflects a sustained commitment to improving medication use, advancing clinical education, and supporting high-quality care for older adults."
"Amy Rivera","BSBA","Amy Rivera is a lymphedema consultant, educator, and rare-disease advocate with extensive lived experience in complex lymphatic conditions. Her work centers on patient education, informed decision-making, and improving functional outcomes for individuals with chronic edema and lymphatic disorders. She contributes patient-voice perspectives to clinical education, research initiatives, and interdisciplinary care models, helping clinicians better understand the long-term realities of lymphatic disease management."
"Tara Roberts","PT, ACWPT, QCP, CDP","Tara Roberts is a healthcare leader & licensed physical therapist with over 30 years of experience in post-acute care, clinical innovation, & quality advancement. A 1995 graduate of Georgia State University, Tara joined Nexion Health in 2004, where she serves as Vice President of Quality, Rehab, & Wound Care Services across their portfolio. Tara is the developer of the SUCCESS Model for wound care education & the 3 C's of Skin & Wound Care. She served as co-chair for the Louisiana Wound Care Quality Initiative, working alongside the LDH, LSUHSC, & LNHA. She has been a PrI CMS Technical Expert Panelist & a featured presenter at major industry conferences including AHCA, NAHQNext, & PAWSIC. She is an AHCA Future Leader Graduate & maintains membership to NAHQ, LPTA, APTA, Wound Healing Society & AANAC. She is a QAPI Certified Professional, Certified Dementia Practitioner, & Advantage Certified Wound Physical Therapist. As part of AHCA, Tara contributes to the Political Action & Involvement, Quality Improvement & Clinical Practice Committees. Tara owns AdvantageYOU HCS, helping organizations elevate clinical, operational & quality performance in post-acute care."
"Ronald Rosen","MD, CMD","Dr. Ronald Rosen is a board-certified family physician with certificates of added qualification in Geriatrics and Hospice and Palliative Medicine, and is board certified in wound care. He brings more than four decades of experience spanning primary care, geriatrics, and hospice and palliative medicine, with proven leadership in both clinical and administrative roles. Dr. Rosen has extensive involvement in long-term care settings, and medical-legal consulting related to geriatrics, hospice, and post-acute care. He has a particular professional interest in skin failure and its implications for quality measurement, diagnosis, and patient-centered care across the post-acute continuum. Deeply committed to improving care for aging populations, he works to advance post-acute services through innovation, interdisciplinary collaboration, and evidence-informed practice."
"Cassandre Voltaire","DO, ABWMS","Dr. Cassandre Voltaire, DO, ABWMS is a family medicine physician with a clinical focus in wound care across skilled nursing, long-term care, and post-acute settings. Her interest in systems-based pressure injury prevention is informed by lived experience in nursing homes, including work as a CNA prior to medical school. Dr. Voltaire's work centers on facility-level approaches to wound prevention, quality improvement, and interdisciplinary collaboration, with an emphasis on translating evidence into real-world practice. She is the founder of WoundFit, an educational and collaborative platform focused on strengthening wound care culture and clinical decision-making in long-term care environments."
"Isaac Zralii","LSWA, CNA","Isaac brings 20 plus years of hands-on experience as a Certified Nursing Assistant (CNA). He is a strong advocate for systemic change within the healthcare industry, with previous emphasis on HIV/AIDS education and community outreach, health income disparity and LGBTQ healthcare access. He is also a licensed social work associate, with a focus on community mental health support services."
